项目名,jmeter_interfacelist,yapi_interfacelist,jmeter_match_in_yapi,jmeter_not_match_in_yapi,yapi_not_match_in_jmeter,jmeter_match_in_yapi/yapi_interfacelist*100
all,2552,10159,2378,174,7781,23.41
smarttown-WXApplet.jmx,63,10159,62,1,10097,0.61
hilife-smarttown.jmx,172,10159,155,17,10004,1.53
jmeter模板-10.21.jmx,17,10159,14,3,10145,0.14
hilife-programmanager.jmx,69,10159,68,1,10091,0.67
hilife-clothingsuppl.jmx,15,10159,11,4,10148,0.11
apiTest_template.jmx,83,10159,80,3,10079,0.79
hilife_coupon.jmx,82,10159,74,8,10085,0.73
hilife-agent.jmx,166,10159,153,13,10006,1.51
hilife-advert.jmx,32,10159,31,1,10128,0.31
hilife_householdv2.jmx,39,10159,33,6,10126,0.32
hilife-appmanage.jmx,72,10159,66,6,10093,0.65
hilife-decoration.jmx,53,10159,51,2,10108,0.50
hilife-cbecommerce.jmx,20,10159,17,3,10142,0.17
hilife-supplier.jmx,58,10159,57,1,10102,0.56
hilife-finance.jmx,62,10159,61,1,10098,0.60
hilife-programmanager.jmx,2,10159,1,1,10158,0.01
hilife_housekeeper.jmx,24,10159,20,4,10139,0.20
hilife-portal.jmx,113,10159,100,13,10059,0.98
hilife-crm.jmx,124,10159,99,25,10060,0.97
staffworkbench.jmx,9,10159,8,1,10151,0.08
apiTest_hilife-tickets.jmx,34,10159,29,5,10130,0.29
hilife-base-manage.jmx,54,10159,50,4,10109,0.49
apiTest_warningsend.jmx,20,10159,11,9,10148,0.11
apiTest_hilife-sku.jmx,50,10159,42,8,10117,0.41
hilife-customerservice.jmx,57,10159,54,3,10105,0.53
hilife-promotion-CX.jmx,106,10159,98,8,10061,0.96
hilife-promotion-FC.jmx,12,10159,9,3,10150,0.09
apiTest_popularize.jmx,29,10159,26,3,10133,0.26
hilife-stock.jmx,25,10159,24,1,10135,0.24
apiTest_vshop.jmx,393,10159,382,11,9777,3.76
hilife-employeecenter.jmx,4,10159,3,1,10156,0.03
apiTest_yhbill.jmx,5,10159,4,1,10155,0.04
hilife-yhbill.jmx,28,10159,25,3,10134,0.25
apiTest_wxapplet.jmx,36,10159,27,9,10132,0.27
公共接口.jmx,31,10159,28,3,10131,0.28
apiTest_polymerization.jmx,62,10159,57,5,10102,0.56
apiTest-review.jmx,39,10159,36,3,10123,0.35
apiTest_openapi.jmx,20,10159,11,9,10148,0.11
apiTest_propertythird.jmx,20,10159,11,9,10148,0.11
hilife_estatepayment.jmx,63,10159,41,22,10118,0.40
hilife_extecommerce.jmx,35,10159,11,24,10148,0.11
hilife_erp.jmx,46,10159,34,12,10125,0.33
hilife-heyoufamily.jmx,101,10159,92,9,10067,0.91
hilife_analysisacceptance.jmx,153,10159,136,17,10023,1.34
hilife-xtedu-V2.4.0.jmx,377,10159,358,19,9801,3.52
hilife-enterprisepurchase.jmx,62,10159,61,1,10098,0.60
hilife-societyservice.jmx,41,10159,36,5,10123,0.35
