项目名,jmeter_interfacelist,yapi_interfacelist,jmeter_match_in_yapi,jmeter_not_match_in_yapi,yapi_not_match_in_jmeter,jmeter_match_in_yapi/yapi_interfacelist*100
all,2552,10154,2378,174,7776,23.42
smarttown-WXApplet.jmx,63,10154,62,1,10092,0.61
hilife-smarttown.jmx,172,10154,155,17,9999,1.53
jmeter模板-10.21.jmx,17,10154,14,3,10140,0.14
hilife-programmanager.jmx,69,10154,68,1,10086,0.67
hilife-clothingsuppl.jmx,15,10154,11,4,10143,0.11
apiTest_template.jmx,83,10154,80,3,10074,0.79
hilife_coupon.jmx,82,10154,74,8,10080,0.73
hilife-agent.jmx,166,10154,153,13,10001,1.51
hilife-advert.jmx,32,10154,31,1,10123,0.31
hilife_householdv2.jmx,39,10154,33,6,10121,0.32
hilife-appmanage.jmx,72,10154,66,6,10088,0.65
hilife-decoration.jmx,53,10154,51,2,10103,0.50
hilife-cbecommerce.jmx,20,10154,17,3,10137,0.17
hilife-supplier.jmx,58,10154,57,1,10097,0.56
hilife-finance.jmx,62,10154,61,1,10093,0.60
hilife-programmanager.jmx,2,10154,1,1,10153,0.01
hilife_housekeeper.jmx,24,10154,20,4,10134,0.20
hilife-portal.jmx,113,10154,100,13,10054,0.98
hilife-crm.jmx,124,10154,99,25,10055,0.97
staffworkbench.jmx,9,10154,8,1,10146,0.08
apiTest_hilife-tickets.jmx,34,10154,29,5,10125,0.29
hilife-base-manage.jmx,54,10154,50,4,10104,0.49
apiTest_warningsend.jmx,20,10154,11,9,10143,0.11
apiTest_hilife-sku.jmx,50,10154,42,8,10112,0.41
hilife-customerservice.jmx,57,10154,54,3,10100,0.53
hilife-promotion-CX.jmx,106,10154,98,8,10056,0.97
hilife-promotion-FC.jmx,12,10154,9,3,10145,0.09
apiTest_popularize.jmx,29,10154,26,3,10128,0.26
hilife-stock.jmx,25,10154,24,1,10130,0.24
apiTest_vshop.jmx,393,10154,382,11,9772,3.76
hilife-employeecenter.jmx,4,10154,3,1,10151,0.03
apiTest_yhbill.jmx,5,10154,4,1,10150,0.04
hilife-yhbill.jmx,28,10154,25,3,10129,0.25
apiTest_wxapplet.jmx,36,10154,27,9,10127,0.27
公共接口.jmx,31,10154,28,3,10126,0.28
apiTest_polymerization.jmx,62,10154,57,5,10097,0.56
apiTest-review.jmx,39,10154,36,3,10118,0.35
apiTest_openapi.jmx,20,10154,11,9,10143,0.11
apiTest_propertythird.jmx,20,10154,11,9,10143,0.11
hilife_estatepayment.jmx,63,10154,41,22,10113,0.40
hilife_extecommerce.jmx,35,10154,11,24,10143,0.11
hilife_erp.jmx,46,10154,34,12,10120,0.33
hilife-heyoufamily.jmx,101,10154,92,9,10062,0.91
hilife_analysisacceptance.jmx,153,10154,136,17,10018,1.34
hilife-xtedu-V2.4.0.jmx,377,10154,358,19,9796,3.53
hilife-enterprisepurchase.jmx,62,10154,61,1,10093,0.60
hilife-societyservice.jmx,41,10154,36,5,10118,0.35
